t0,t1,t2,t3,t4,t5
1.059135007419626240e-01,1.799477272220153246e-01,1.911944601733913396e-01,1.125330945383353209e-01,8.795799111742650389e-01,1.990168925837878433e+01
1.076414368850156650e-01,1.813027659250824042e-01,1.926341887954002019e-01,1.143690266903290148e-01,8.780238437680396579e-01,2.043533832778483017e+01
1.112932892874021057e-01,1.826373640138312660e-01,1.940521992646957183e-01,1.182491198678645855e-01,8.752049767582351647e-01,2.108676062133259776e+01
1.137096515748994285e-01,1.837439786062413372e-01,1.952279772691315751e-01,1.208165047983304624e-01,8.733174408378513442e-01,2.166778193401988872e+01
1.158735528746022286e-01,1.855647224590356581e-01,1.971625176127253798e-01,1.231156499292649920e-01,8.717501220742009949e-01,2.219882931158215200e+01
1.138619808374459474e-01,1.876246127384983420e-01,1.993511510346545612e-01,1.209783546397861925e-01,8.700291521495763236e-01,2.259219950368180108e+01
1.102425423025054224e-01,1.902588495893303977e-01,2.021500276886636083e-01,1.171327011964119064e-01,8.683672961147358427e-01,2.290193431714360273e+01
1.080386236354202584e-01,1.928179759833356377e-01,2.048690994822941758e-01,1.147910376126339144e-01,8.664412621491799360e-01,2.315691315266663253e+01
1.062923307593991312e-01,1.951116895187681444e-01,2.073061701136910406e-01,1.129356014318618068e-01,8.645824777322417276e-01,2.335860654418683069e+01
1.053382590341722935e-01,1.970421011095104813e-01,2.093572324288549558e-01,1.119219002238080046e-01,8.629231000987115374e-01,2.351611946141136400e+01
1.045129340791803862e-01,1.991768302883796249e-01,2.116253821814034208e-01,1.110449924591289522e-01,8.616669828281386945e-01,2.365676838555609862e+01
1.040687477040992959e-01,2.011483986080104536e-01,2.137201735210110531e-01,1.105730444356056164e-01,8.609891100755375781e-01,2.377501405850482641e+01
1.037043968376770292e-01,2.029309410063292463e-01,2.156141248192248172e-01,1.101859216400317698e-01,8.605100999707377962e-01,2.387483505121398508e+01
1.038201308835446091e-01,2.040015890832503342e-01,2.167516884009536293e-01,1.103088890637660552e-01,8.601104182049547076e-01,2.395460684109263383e+01
1.041757234808890903e-01,2.046908758610294643e-01,2.174840556023436844e-01,1.106867061984449091e-01,8.598528493801587125e-01,2.401084614508313564e+01
1.044692014679980407e-01,2.051870825586254721e-01,2.180112752185397185e-01,1.109985265597477067e-01,8.597471259104274566e-01,2.404777347987538860e+01
1.049781496777722062e-01,2.054240443791766069e-01,2.182630471528752003e-01,1.115392840326333013e-01,8.597326429775536960e-01,2.407179592587277028e+01
1.060719303672784525e-01,2.055100127984889891e-01,2.183543885983946220e-01,1.127014260152334607e-01,8.597262248616103220e-01,2.409012107844927542e+01
1.075023742389013548e-01,2.056029751764268387e-01,2.184531611249535543e-01,1.142212726288327623e-01,8.597139331868870471e-01,2.410542041941294400e+01
1.091279933508594036e-01,2.056794279356222166e-01,2.185343921815985635e-01,1.159484929352882637e-01,8.597273385906827325e-01,2.412046218721977553e+01
1.107766013415078937e-01,2.057847413840663275e-01,2.186462877205704869e-01,1.177001389253520269e-01,8.597980482504573585e-01,2.414478807940928462e+01
1.122330715503359888e-01,2.056133583066176163e-01,2.184641932007813647e-01,1.192476385222318996e-01,8.598311777529829003e-01,2.418126239690789703e+01
1.144240699758296981e-01,2.052524013497834532e-01,2.180806764341449433e-01,1.215755743493190794e-01,8.598395253642643343e-01,2.422468826775267203e+01
1.186626156533390902e-01,2.044810433546056794e-01,2.172611085642685291e-01,1.260790291316726264e-01,8.599964543577655052e-01,2.427729803382352713e+01
1.237508980156229732e-01,2.036673665501361752e-01,2.163965769595197763e-01,1.314853291415994385e-01,8.600701492446876095e-01,2.434252840436879595e+01
1.241436521383096903e-01,2.009589396316329157e-01,2.135188733586099452e-01,1.319026303969543790e-01,8.605435851120942781e-01,2.442557156003484309e+01
1.198956809538277990e-01,1.964545966491390572e-01,2.087330089397103072e-01,1.273891610134422203e-01,8.612957890955378337e-01,2.448037883742276577e+01
1.152414893175977839e-01,1.924119372478127477e-01,2.044376833258009785e-01,1.224440823999476124e-01,8.616912401463152626e-01,2.453163729037066076e+01
1.067106429023046699e-01,1.863760612734916000e-01,1.980245651030848597e-01,1.133800580836988037e-01,8.615158098609470017e-01,2.459646727433201008e+01
9.350780545969912538e-02,1.786456189390333016e-01,1.898109701227229384e-01,9.935204330093028169e-02,8.609422664010946136e-01,2.466135433770506680e+01
7.784168659668644352e-02,1.717838083439060526e-01,1.825202963654001809e-01,8.270679200897955441e-02,8.609187410206219360e-01,2.474793377884554246e+01
7.044051195800012100e-02,1.671615382595273702e-01,1.776091344007477701e-01,7.484304395537508259e-02,8.625846484078043552e-01,2.489666514883991866e+01
6.610325409688921905e-02,1.654917636431158245e-01,1.758349988708106659e-01,7.023470747794469116e-02,8.648639545162288833e-01,2.497773402258578912e+01
6.485739762442215006e-02,1.654678774714135325e-01,1.758096198133768662e-01,6.891098497594870531e-02,8.660288314640214313e-01,2.501705314137924319e+01
6.260763501321180147e-02,1.645653774934494606e-01,1.748507135867900519e-01,6.652061220153743237e-02,8.667328802159689483e-01,2.508996617263857587e+01
6.601703849222585740e-02,1.628401302181004540e-01,1.730176383567317289e-01,7.014310339798976446e-02,8.685968189395205652e-01,2.522277516575014999e+01
7.776903481126104523e-02,1.574762681774061757e-01,1.673185349384939957e-01,8.262959948696484147e-02,8.714301808328310806e-01,2.538847756345482765e+01
8.807274172795664935e-02,1.530814625289671216e-01,1.626490539370276101e-01,9.357728808595380809e-02,8.750470336166139562e-01,2.555978654242194636e+01
9.147972348413707655e-02,1.487790103846662049e-01,1.580776985337077334e-01,9.719720620189538363e-02,8.783586949924695464e-01,2.571285451320490623e+01
9.330255418860639027e-02,1.446435228997590416e-01,1.536837430809939731e-01,9.913396382539398088e-02,8.810220626184837034e-01,2.584547781116125265e+01
9.349161100442586469e-02,1.410208018870535707e-01,1.498346020049944050e-01,9.933483669220251333e-02,8.825794882829530730e-01,2.593289287445693247e+01
9.241211039969210450e-02,1.373682716000788062e-01,1.459537885750837038e-01,9.818786729967284022e-02,8.831311505268937267e-01,2.594738022250976428e+01
8.953785197073003965e-02,1.333787864052582151e-01,1.417149605555869107e-01,9.513396771890064718e-02,8.813466736425173975e-01,2.590283058597093202e+01
8.833053890536567143e-02,1.309014893007590385e-01,1.390828323820565982e-01,9.385119758695097125e-02,8.795442393771216727e-01,2.599078613796183035e+01
8.452312485085215765e-02,1.304127805085342484e-01,1.385635792903175678e-01,8.980582015403039409e-02,8.779028547482332634e-01,2.623377336818685990e+01
8.011321491233933112e-02,1.295991262938774036e-01,1.376990716872448228e-01,8.512029084436038839e-02,8.792405734246322435e-01,2.641667679306418393e+01
7.870451535296960066e-02,1.301196893480298100e-01,1.382521699322817044e-01,8.362354756252966814e-02,8.792468364459887775e-01,2.653644531746418167e+01
8.082044487837262980e-02,1.304639623124643211e-01,1.386179599569933585e-01,8.587172268327071534e-02,8.796586242145162382e-01,2.666478078887210401e+01
8.491443754597820248e-02,1.312567694545586083e-01,1.394603175454686150e-01,9.022158989260163631e-02,8.798380684951259134e-01,2.681514355458332588e+01
8.475676783676977522e-02,1.324828938569861947e-01,1.407630747230478319e-01,9.005406582656769188e-02,8.810906253275657685e-01,2.700126387318910304e+01
9.005544608199783641e-02,1.329158812621766828e-01,1.412231238410626699e-01,9.568391146212261444e-02,8.813929421969618483e-01,2.723841025357613432e+01
9.403893710533706152e-02,1.337183187131811557e-01,1.420757136327551184e-01,9.991637067442056541e-02,8.810356383698346727e-01,2.755376616793943256e+01
9.341121961015748376e-02,1.325907039243058305e-01,1.408776229195749796e-01,9.924942083579237073e-02,8.809376045351885454e-01,2.801652935405005351e+01
9.280061572548797821e-02,1.312790830907184791e-01,1.394840257838883824e-01,9.860065420833077909e-02,8.811109415567839331e-01,2.856476979685290374e+01
9.289492172310333251e-02,1.305971194662089163e-01,1.387594394328469927e-01,9.870085433079726911e-02,8.805529305360313419e-01,2.917251471681788288e+01
9.368261806074718034e-02,1.292077354807661393e-01,1.372832189483139953e-01,9.953778168954395544e-02,8.795115085126001819e-01,2.979620164106838942e+01
9.514371714227214116e-02,1.280811252042906856e-01,1.360861955295588066e-01,1.010901994636640433e-01,8.783839491332378069e-01,3.048294025650727690e+01
9.247895791585744596e-02,1.259379691781311039e-01,1.338090922517644055e-01,9.825889278559865603e-02,8.770894512078822869e-01,3.119517381109275078e+01
8.814737705163346038e-02,1.239198307600844207e-01,1.316648201825896813e-01,9.365658811736062017e-02,8.769447448608612694e-01,3.195412266279257452e+01
8.406511477622198580e-02,1.222479411860172283e-01,1.298884375101433120e-01,8.931918444973595272e-02,8.772854088377037840e-01,3.278032646175189058e+01
8.324362386905734268e-02,1.211522973830218425e-01,1.287243159694606565e-01,8.844635036087325486e-02,8.774463770226382797e-01,3.356252122238826985e+01
8.384849180215470099e-02,1.204423768350916107e-01,1.279700253872848859e-01,8.908902253978928654e-02,8.772874323301840249e-01,3.426057587068577703e+01
8.630456022346576217e-02,1.192957731249454228e-01,1.267517589452545057e-01,9.169859523743201235e-02,8.771495726742616350e-01,3.491381945794681485e+01
8.849111113100931181e-02,1.187302718603082535e-01,1.261509138515775341e-01,9.402180557669727323e-02,8.774267306761630580e-01,3.547712770391538584e+01
9.040793357583024048e-02,1.184537504353593979e-01,1.258571098375692587e-01,9.605842942431937204e-02,8.779308178650371275e-01,3.598941071046356655e+01
9.299841762751853702e-02,1.184108425735985320e-01,1.258115202344484707e-01,9.881081872923837273e-02,8.784018161575066763e-01,3.648127912109090687e+01
9.684318607318784244e-02,1.182374639151952816e-01,1.256273054098951125e-01,1.028958852027620774e-01,8.784163904298178949e-01,3.691659207705150436e+01
9.303534693377067677e-02,1.213958903020329327e-01,1.289831334459099754e-01,9.885005611713147677e-02,8.788463605580102422e-01,3.725276841579646003e+01
8.561641023413098239e-02,1.269395535023024046e-01,1.348732755961963570e-01,9.096743587376424078e-02,8.791034609330010685e-01,3.753483189285420707e+01
7.879934595080463622e-02,1.326292588080295043e-01,1.409185874835313379e-01,8.372430507272983491e-02,8.787372982136434363e-01,3.780611229677735707e+01
6.999778005371411205e-02,1.367111427776156463e-01,1.452555892012166450e-01,7.437264130707131604e-02,8.778796294140855938e-01,3.808206611534490804e+01
6.063442520019456800e-02,1.406009424064040558e-01,1.493885013068043111e-01,6.442407677520692322e-02,8.766858740463893129e-01,3.835148012999776768e+01
5.431588655275895045e-02,1.448678271076160873e-01,1.539220663018421864e-01,5.771062946230634538e-02,8.768381488496201914e-01,3.855381691794615762e+01
5.018784403640302871e-02,1.500625014271780022e-01,1.594414077663764973e-01,5.332458428867824229e-02,8.766853778639198680e-01,3.866078523815257739e+01
4.950242564040517601e-02,1.557230492297741187e-01,1.654557398066349716e-01,5.259632724293022282e-02,8.760716918272083431e-01,3.871089485959149101e+01
5.210863178020978814e-02,1.618186494644339168e-01,1.719323150559609603e-01,5.536542126647272383e-02,8.750916942754080052e-01,3.872268115124759902e+01
5.702094645904780268e-02,1.677619862610652823e-01,1.782471104023818920e-01,6.058475561273814203e-02,8.739477786270506421e-01,3.874377497860619002e+01
6.277864744500033511e-02,1.738088236218909566e-01,1.846718750982590251e-01,6.670231291031292198e-02,8.722272622521087815e-01,3.873679076137660360e+01
6.961905485433905749e-02,1.802375434487085704e-01,1.915023899142528907e-01,7.397024578273504736e-02,8.699855620508822884e-01,3.870532142759356731e+01
7.549690453668085610e-02,1.857827264664184408e-01,1.973941468705695534e-01,8.021546107022323180e-02,8.682449925131128232e-01,3.867454394540314411e+01
7.573371379923536650e-02,1.889455625114535298e-01,2.007546601684193632e-01,8.046707091168747716e-02,8.670080344833642760e-01,3.863507199732165986e+01
6.983681526490470581e-02,1.888353868623114107e-01,2.006375985412059693e-01,7.420161621896091686e-02,8.661302908177371807e-01,3.858525636669556036e+01
6.186509570249534157e-02,1.870772697226580905e-01,1.987695990803242663e-01,6.573166418390126442e-02,8.653573430867148586e-01,3.854183487080783976e+01
5.677967953774152449e-02,1.851994243957722497e-01,1.967743884205079841e-01,6.032840950885048209e-02,8.650431256341787334e-01,3.850112392663427130e+01
5.536226792314611483e-02,1.842122575603709345e-01,1.957255236578940849e-01,5.882240966834292872e-02,8.650938658358893196e-01,3.846775106047036275e+01
5.568783222532619481e-02,1.839794805951845413e-01,1.954781981323834850e-01,5.916832173940904382e-02,8.657384816280100370e-01,3.838811853024344600e+01
5.602481996393395003e-02,1.836623802774365044e-01,1.951412790447763224e-01,5.952637121167968226e-02,8.665009704622458342e-01,3.825491407376502906e+01
5.681558279044487958e-02,1.823714263946311087e-01,1.937696405442954628e-01,6.036655671484756486e-02,8.671988417142187933e-01,3.813119411775508638e+01
6.251216644845408732e-02,1.824646306305798271e-01,1.938686700449910039e-01,6.641917685148258921e-02,8.675656722733756654e-01,3.798980676132673295e+01
6.826671618384672069e-02,1.861889876445591563e-01,1.978257993723442354e-01,7.253338594533718930e-02,8.681811404277035571e-01,3.775354900788973822e+01
7.759673866815505749e-02,1.920273996359901370e-01,2.040291121132394581e-01,8.244653483491495849e-02,8.694630693450927650e-01,3.755195963644107593e+01
8.738204261422480301e-02,1.970944131106440178e-01,2.094128139300590608e-01,9.284342027761387228e-02,8.713035443860484008e-01,3.739740039949708006e+01
9.516477413383242490e-02,2.018684738384706745e-01,2.144852534533751021e-01,1.011125725171971579e-01,8.731658823979281392e-01,3.726165514540535639e+01
1.014955925321128355e-01,2.050379637576663361e-01,2.178528364925204908e-01,1.078390670653697342e-01,8.747619824781892595e-01,3.715495726101086404e+01
1.118588952032185668e-01,2.084683026654403082e-01,2.214975715820302338e-01,1.188500761534197481e-01,8.766662107418747851e-01,3.707630595346107327e+01
1.180312147504475467e-01,2.090357091658096023e-01,2.221004409886727649e-01,1.254081656723503579e-01,8.800456727122043521e-01,3.703900840622624457e+01
1.284566899576018162e-01,2.074335635208188477e-01,2.203981612408700552e-01,1.364852330799518620e-01,8.844624424090680170e-01,3.704118181580712843e+01
1.423949883198430966e-01,2.041693899274151514e-01,2.169299767978785931e-01,1.512946750898331860e-01,8.893360279079525199e-01,3.703260808168467122e+01
1.493176609651655495e-01,1.981228455025071666e-01,2.105055233464139808e-01,1.586500147754882351e-01,8.935690352735817799e-01,3.709489423217219439e+01
1.558139242095065158e-01,1.912473575084724653e-01,2.032003173527518469e-01,1.655522944726005863e-01,8.977811141288248864e-01,3.721287244072251355e+01
1.625110008760249913e-01,1.850652552650544624e-01,1.966318337191203802e-01,1.726679384307764631e-01,9.013645665524294692e-01,3.735263499007378130e+01
