Step,Agent_ID,X,Y,Theta
0,1,372.2350,573.8279,2.9754
0,2,250.0136,404.8212,-2.1351
0,3,271.8264,271.4385,-1.5636
0,4,400.8014,185.9029,-0.6795
0,5,584.7672,222.7301,0.0641
0,6,634.0265,362.0179,0.8539
0,7,620.0898,500.2865,1.6247
0,8,511.7573,553.2120,2.2445
0,9,527.0807,288.2072,-0.5928
0,10,528.4926,341.3514,-0.2224
0,11,372.3135,353.7423,-2.2859
0,12,506.5951,418.6479,2.8181
0,13,520.8969,476.1711,2.2467
0,14,392.3289,491.0769,1.8120
0,15,340.7071,442.1034,-2.2937
0,16,313.0829,283.9368,-1.5742
0,17,445.4590,245.9550,-0.5849
1,1,372.1225,573.5295,2.9566
1,2,249.9965,404.7600,-2.1655
1,3,272.1540,271.3954,-1.5780
1,4,400.8999,186.0476,-0.7044
1,5,584.9664,223.1235,0.0532
1,6,633.7402,362.1446,0.8094
1,7,619.5378,500.5750,1.6093
1,8,511.8516,552.9402,2.2211
1,9,526.8676,288.4394,-0.6175
1,10,529.2615,341.9337,-0.2268
1,11,372.7177,353.3882,-2.3107
1,12,506.6422,418.4051,2.7758
1,13,519.8968,475.7572,2.2425
1,14,392.3687,491.2384,1.7870
1,15,340.2632,442.2943,-2.3150
1,16,313.8606,283.1340,-1.5965
1,17,445.0712,245.4168,-0.6187
2,1,371.9496,572.9120,2.9235
2,2,249.7545,404.5751,-2.2076
2,3,272.5675,271.3916,-1.5986
2,4,401.0095,186.2069,-0.7313
2,5,585.2733,223.7106,0.0369
2,6,633.2970,362.3320,0.7432
2,7,618.6248,501.0735,1.5836
2,8,512.2302,552.3536,2.1782
2,9,526.5524,288.7123,-0.6584
2,10,530.3972,342.8684,-0.2353
2,11,373.0213,353.0909,-2.3313
2,12,506.6709,418.2138,2.7382
2,13,518.3674,474.9709,2.2377
2,14,392.3947,491.3454,1.7659
2,15,339.9278,442.4720,-2.3348
2,16,315.1781,281.8444,-1.6366
2,17,444.5544,244.8651,-0.6661
3,1,371.7391,572.2981,2.9047
3,2,249.5591,404.4334,-2.2389
3,3,272.9533,271.4440,-1.6372
3,4,401.1017,186.3465,-0.7524
3,5,585.4878,224.1062,0.0258
3,6,632.9752,362.4614,0.6915
3,7,617.7568,501.5762,1.5588
3,8,512.3294,551.7409,2.1484
3,9,526.5098,288.8508,-0.6849
3,10,531.0125,343.5288,-0.2534
3,11,373.2592,352.8525,-2.3399
3,12,506.6878,418.0982,2.7146
3,13,516.8693,474.1411,2.2154
3,14,392.4993,491.3507,1.7519
3,15,339.5826,442.6946,-2.3415
3,16,316.1018,281.0249,-1.6696
3,17,444.2108,244.5349,-0.7028
4,1,371.6429,571.9163,2.8870
4,2,249.3947,404.3170,-2.2643
4,3,273.1736,271.4941,-1.6642
4,4,401.1837,186.4744,-0.7710
4,5,585.6830,224.4575,0.0159
4,6,632.6826,362.5642,0.6444
4,7,616.7601,502.1894,1.5300
4,8,512.2662,551.1044,2.1271
4,9,526.5710,288.9357,-0.7025
4,10,531.3151,343.9292,-0.2713
4,11,373.5009,352.6155,-2.3418
4,12,505.9697,417.7854,2.6937
4,13,516.1889,473.4811,2.2228
4,14,392.6762,491.3617,1.7361
4,15,339.1613,442.9164,-2.3411
