time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1.000000,2.011917,2.003986,2.055598,2.013185,2.010553,1.979914,2.006259,1.989914,0.318295,0.075136,0.031484,0.052822,0.303405,0.429631,0.447924,1.930117,0.758477
1.016667,2.012056,2.004053,2.054968,2.013627,2.010440,1.979486,2.006083,1.989379,0.310912,0.075741,0.030926,0.053556,0.285174,0.433405,0.462565,1.927442,0.783142
1.033333,2.012233,2.004080,2.053500,2.014189,2.010291,1.978800,2.005895,1.988376,0.301222,0.076469,0.030464,0.054981,0.257950,0.436150,0.474339,1.922141,0.809079
1.050000,2.012364,2.004125,2.052610,2.014568,2.010249,1.978222,2.005688,1.986915,0.297639,0.076757,0.030096,0.056465,0.233746,0.435086,0.487448,1.918073,0.824878
1.066667,2.012439,2.004208,2.052078,2.014794,2.010254,1.977572,2.005786,1.985208,0.296630,0.076919,0.029732,0.056941,0.220509,0.433001,0.503030,1.915667,0.833543
1.083333,2.012496,2.004291,2.051237,2.014943,2.010278,1.976866,2.006041,1.983890,0.296726,0.077102,0.029438,0.057312,0.208569,0.431496,0.516591,1.912699,0.836533
1.100000,2.012541,2.004373,2.050667,2.015067,2.010313,1.976143,2.006426,1.982868,0.297407,0.077268,0.029176,0.057528,0.199201,0.430462,0.528695,1.910666,0.836956
1.116667,2.012580,2.004453,2.050105,2.015148,2.010348,1.975427,2.006911,1.982069,0.298285,0.077415,0.028955,0.057630,0.191127,0.429837,0.539243,1.909241,0.835512
1.133333,2.012606,2.004500,2.049572,2.015212,2.010384,1.974738,2.007477,1.981427,0.299290,0.077556,0.028783,0.057639,0.183939,0.428080,0.546238,1.908393,0.833707
1.150000,2.012541,2.004438,2.049091,2.015267,2.010418,1.974092,2.008120,1.981014,0.300319,0.077682,0.028666,0.057513,0.177641,0.418339,0.545783,1.907910,0.831719
1.166667,2.012336,2.004438,2.048663,2.015320,2.010451,1.973501,2.008822,1.981329,0.301385,0.077734,0.028595,0.057223,0.172458,0.401007,0.547937,1.907748,0.830032
1.183333,2.012107,2.004461,2.048303,2.015364,2.010479,1.972995,2.009267,1.982085,0.302330,0.077797,0.028546,0.057013,0.168764,0.383686,0.550873,1.907711,0.828479
1.200000,2.011876,2.004498,2.048025,2.015393,2.010502,1.972576,2.009583,1.982699,0.303103,0.077762,0.028509,0.056883,0.166599,0.367496,0.554329,1.907809,0.826857
1.216667,2.011708,2.004523,2.047861,2.015416,2.010521,1.972256,2.009759,1.983036,0.303758,0.077758,0.028475,0.056809,0.165083,0.356032,0.556770,1.908217,0.825609
1.233333,2.011593,2.004547,2.047776,2.015433,2.010535,1.972041,2.009880,1.983306,0.304225,0.077745,0.028450,0.056778,0.164152,0.348545,0.558811,1.908640,0.824810
1.250000,2.011525,2.004564,2.047733,2.015453,2.010543,1.971921,2.009946,1.983459,0.304524,0.077750,0.028423,0.056762,0.163598,0.344183,0.560629,1.908915,0.824841
1.266667,2.011490,2.004575,2.047711,2.015493,2.010545,1.971870,2.009953,1.983464,0.304562,0.077781,0.028400,0.056757,0.163296,0.341859,0.561976,1.909066,0.826260
1.283333,2.011472,2.004581,2.047699,2.015532,2.010549,1.971848,2.009905,1.983338,0.304672,0.077800,0.028378,0.056757,0.163124,0.340619,0.563066,1.909150,0.827918
1.300000,2.011464,2.004586,2.047693,2.015572,2.010553,1.971843,2.009806,1.983098,0.304823,0.077813,0.028359,0.056761,0.163015,0.339962,0.563975,1.909199,0.829698
1.316667,2.011464,2.004594,2.047690,2.015609,2.010558,1.971846,2.009657,1.982758,0.304996,0.077821,0.028344,0.056765,0.162933,0.339699,0.564860,1.909228,0.831441
1.333333,2.011470,2.004605,2.047689,2.015641,2.010563,1.971851,2.009465,1.982324,0.305188,0.077822,0.028336,0.056770,0.162857,0.339671,0.565615,1.909244,0.832950
1.350000,2.011479,2.004620,2.047688,2.015701,2.010514,1.972592,2.009228,1.981798,0.302986,0.077667,0.028307,0.056763,0.162772,0.339757,0.567341,1.909260,0.835915
1.366667,2.011490,2.004637,2.047748,2.015750,2.010455,1.973430,2.008954,1.981191,0.300354,0.077477,0.028299,0.056751,0.162677,0.339907,0.568655,1.909261,0.838328
